influencer_name,views,likes,comments,engagement_rate_%,speech_sentiment,product_name,product_category,product_rating,product_review_count,product_sentiment,has_product_overlay,is_sponsored,promotion
Shadhik Azeez,1437706,50832,182,3.548,0.7328,"LuvLap Alpha Baby Stroller/Pram, One Fold, Travel Friendly, 5 Point Safety Harness, Reversible Handle bar, Multilevel Recline & Adjustable footrest, Extendable Canopy, for Babies 0-3 Years (Black)","Baby
Baby Wish List
Bestsellers
Diapering
Baby Care
Feeding
Activity & Entertainment
Bedding, Furniture & Room Décor
Potty Training
Stroller, Prams & Carriers",4.3,61,0.7097,TRUE,FALSE,TRUE
Rajabaron,510413,25047,262,4.959,0.951,"DC DOCTORS CHOICE Oats, High Protein Oats, 27G Pure Protein Breakfast Cereals, Rich in Fiber, No Additives and No Refine Sugar. (750g, Dark Choco Berry)","Grocery & Gourmet Foods
Bestsellers
Snack Foods
Tea, Coffee & Beverages
Spices & Masalas
Dried Fruits & Nuts
Cereal & Muesli",4.2,67,0.3831,FALSE,TRUE,TRUE
TBB,76442,1601,1,2.096,0.9395,"Jovees Herbal Sun Guard Sunscreen Lotion SPF 60 Pa+++ Broad Spectrum For All Skin | 3 In 1 Matte Lotion UVA/UVB Protection, Moisture Balance, Even Tone Skin | Sunscreen For Men/Women 50Ml","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4,65,0.3201,FALSE,TRUE,TRUE
Buvana Balaji,18735,460,18,2.551,0.3609,SunScoop 5% Niacinamide Daily Moisture Sunscreen Body Lotion SPF 50+ PA++++ Broad Spectrum| In-Vitro Tested| 24-Hours Moisturization| Non-Greasy| No White Cast| Reduces Tan| Smoothens Skin (200ml),"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.2,63,0.4325,FALSE,FALSE,FALSE
Lav💕,2163119,46207,208,2.146,0.8777,"PLIX - THE PLANT FIX Watermelon Tint Twist Color-Adapting Sunscreen | For light coverage & instant glow | SPF 50 PA++++ | Pentavitin®, Suncat DE™ | Sun Damage & Tan Repair | low to medium coverage | Light Golden Glow","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.1,81,0.5758,TRUE,TRUE,TRUE
Divya Saravanan Vlogs,553435,8853,131,1.623,0.1503,"MakeMeeBold 3-in-1 Hot Air Brush | Hair Dryer, Straightener & Volumizer | 1.5-Inch Barrel | 1200W Blow Dryer Brush with Ceramic Coating | For All Hair Types | Gifts for woman (Black - Rose Gold)","Health & Personal Care
Bestsellers
Diet & Nutrition
Household Supplies
Health Care
Medical Equipment
Personal Care
Sports Supplements
Shaving & Hair Removal",4.2,22,0.1713,TRUE,FALSE,TRUE
Tech Satire,464670,27024,32,5.823,-0.1537,"Whoop 5.0 Peak – Health and Fitness Tracker - 12-Month Membership – 24/7 Activity and Sleep Tracker with Heart Rate, HRV, Stress Monitor, Personalized Coaching, Healthspan – 14+ Days Battery Life","Kitchen & Home Appliances
Large Appliances
Kitchen & Dining
Furniture
Home Furnishing
Home Decor
Home Improvement",4.4,24,0.3734,TRUE,FALSE,TRUE
Vibe with varshu,3002171,58376,128,1.949,0.1087,"Vilvah Store Annapoorna Rose Milk Lip Balm | For Dry, Chapped & Pigmented Lips | Infused With Paneer Rose Petals | Tinted Lip Balm | Suitable for Men & Women | 10g","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.5,7,0.5257,TRUE,FALSE,TRUE
Soundarya with Varshini - Telugu,1350963,27463,85,2.039,-0.7896,Mamaearth Rosemary Anti Hair Fall Shampoo with Rosemary & Methi Dana for Reducing Hair Loss & Breakage- 250 ml | Up to 94% Stronger Hair* | Up to 93% Less Hair Fall | For Men and Women,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",3.9,89,0.229,TRUE,FALSE,TRUE
Glam by Pragya,2077922,23452,371,1.146,-0.7676,"Foxtale De-Tan Face Mask for Glowing Skin| Clay Mask with Lactic Acid for Tan Removal, Reduction in Blackheads, Instant Brightening| New-Age Ubtan Face Pack for All Skin Types | Men & Women- 75g","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.1,79,0.5452,TRUE,FALSE,TRUE
Elnaz Hamai,393570,4956,41,1.27,0.913,JD FRESH 4-Tier Metal Rotating Kitchen Trolley/Spice Rack/Vegetable & Fruit Storage/Organizer Holder/Onion-Potato Storage Basket for Kitchen/Vegetable Storage Stand,"Kitchen & Home Appliances
Large Appliances
Kitchen & Dining
Furniture
Home Furnishing
Home Decor
Home Improvement",4.1,81,0.6052,FALSE,TRUE,TRUE
Tamil Teckie,3645,19,0,0.521,0.3385,"Milton Flip Lid 1000 Thermosteel Water Bottle 1 LTR, 24 Hr Hot and Cold I Leak Proof Lid, ISI Certified I Vacuum Insulated I for Office, Gym, School I Silver","Kitchen & Home Appliances
Large Appliances
Kitchen & Dining
Furniture
Home Furnishing
Home Decor
Home Improvement",4.2,63,0.2629,TRUE,FALSE,TRUE
